wallet,timestamp,in_token,out_token,amount_in,amount_out,volume_usd,platform,tx_hash,mode,leverage
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 00:27:02.000 UTC,BTC,USDT,0.00420343,0.00419954,383.77,okx,Gkf4bE6isE2FkjCc1UrvwSL2dZ84NNAQCDvCPMgMN38od7SQowFBysPD5mx5BnVw,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 01:08:47.000 UTC,DOGE,USDT,1959.2979563,1960.14350473,293.89,okx,z7DMeJUsCaeoWuQeAbCp4PiCyVHsVksYCh6asq33zCT6R2rtctGLjEy2CiPqr5oZ,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 02:03:30.000 UTC,DOGE,USDT,1855.08742172,1854.18331013,278.26,raydium,WJfkEXskHLxbH8DHsFs5B37zf8E1xJoS7cUCzTPn8BdKFcdsCeZDT6w46hy3gG7Z,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 02:46:39.000 UTC,BCH,USDT,0.24924043,0.2494202,133.59,raydium,sjjQyBrq9o5WJHELDFZSUmvHUvNgEwLTyXmWGrRaF1KGFRweoK57AGqdSYRrKDdn,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 03:19:18.000 UTC,BCH,USDT,0.87302873,0.87277212,467.94,pumpdotfun,QpGRYwNmMDfX8XYwPwMjsPDBTqq6gVGtFpk63SuYcSME5Ps8hKFdmZUbKrPttXCM,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 03:37:37.000 UTC,BCH,USDT,0.17736085,0.17741976,95.07,pumpdotfun,T3AKsWa8XnFSawrZFHd4vWQbwHTMzhnDxHZ5zVEXqc2fPToVT6N8wvytXkXHRwzd,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 03:48:10.000 UTC,AVAX,USDT,6.69414799,6.69755138,234.3,binance,qTYGs6iGHnbEEtrfapkiNPCosnxnP7th35aL5mrkj94g6xpFApqozqz98YZiQp25,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 03:59:13.000 UTC,ETH,USDT,0.02652247,0.02654403,81.16,pumpdotfun,KBgp7vSBssQshJQ7FKgMZFAzC8DmShxGtgoF4uNrnDxFbuoJpETDTNsk67CrE7U4,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 04:02:50.000 UTC,TON,USDT,37.16275497,37.16225982,196.96,binance,nDLh16CEWmzCT4LbkVj9AaYuJ8YadV1y6JBtRqtyyA4bVnRPhVNUeCYBqAHkxkyF,spot,1
0x0000001992b50dede74101ca8a835ea7a26d5874,2024-11-01 04:19:54.000 UTC,XRP,USDT,211.2422199,211.40988085,466.85,pumpdotfun,gQAT9RpPx8UjvbwB5Nz37AG2ZXduhJdMgJXbx149bAS2t5NyQudRyN3njzmJxAd9,spot,1
